epoch,acc,loss,val_acc,val_loss
0,0.93818749999999995,0.20011583629436791,0.96258333333333335,0.12473915549864371
1,0.97218749999999998,0.090002251624983431,0.96499999999999997,0.11270643746200949
2,0.97966666666666669,0.064009204108966516,0.9700833333333333,0.10761130809118429
3,0.98414583333333339,0.048812500504432442,0.97133333333333338,0.10958327890994649
4,0.98641666666666672,0.041440197663517517,0.96758333333333335,0.13771345852676797
5,0.98866666666666669,0.033758521915940948,0.97499999999999998,0.1005764149179716
6,0.99045833333333333,0.029821135790580228,0.97416666666666663,0.11852169623073495
7,0.99102083333333335,0.027469944030020087,0.97416666666666663,0.12380318296390062
8,0.99216666666666664,0.026651418884737987,0.97424999999999995,0.13782841906844351
9,0.99254166666666666,0.022604638643217337,0.97641666666666671,0.12248066361198592
