epoch,acc,loss,val_acc,val_loss
0,0.12125,2.6427521087328594,0.16808333333333333,2.3230557794570923
1,0.2548125,2.0968190535704294,0.36741666666666667,1.8789250253041585
2,0.44929166666666664,1.7248441151777902,0.52700000000000002,1.5591061474482217
3,0.57429166666666664,1.4550248049894969,0.6283333333333333,1.3220009950002034
4,0.65502083333333339,1.253938246568044,0.69799999999999995,1.1431286619504293
5,0.70729166666666665,1.1021310769716899,0.74558333333333338,1.0069244928359986
6,0.74612500000000004,0.98534797453880307,0.77825,0.90153272557258601
7,0.77322916666666663,0.89413173548380531,0.80358333333333332,0.81863211242357892
8,0.79495833333333332,0.82121623212099071,0.82199999999999995,0.75190688927968341
9,0.81143750000000003,0.76207551024357478,0.83466666666666667,0.69801050027211509
