epoch,acc,loss,val_acc,val_loss
0,0.93558333333333332,0.20825294698836902,0.96391666666666664,0.12229773095808923
1,0.97177083333333336,0.090732111184780181,0.9730833333333333,0.094846187031129375
2,0.97970833333333329,0.063606769552609577,0.97050000000000003,0.10717287401496045
3,0.98316666666666663,0.050993368393096414,0.97275,0.11334593346517068
4,0.98645833333333333,0.042338046078416181,0.9770833333333333,0.099308372744063192
5,0.98912500000000003,0.0334960872539923,0.97599999999999998,0.10885069402000226
6,0.99033333333333329,0.030846149522215153,0.97424999999999995,0.12419395122450078
7,0.99087499999999995,0.02796695044955777,0.97491666666666665,0.1247827707946423
8,0.99150000000000005,0.025715201223504361,0.97391666666666665,0.14636098929010921
9,0.99179166666666663,0.026846281754141044,0.97724999999999995,0.11921189667245392
