epoch,acc,loss,val_acc,val_loss
0,0.93497916666666669,0.22839248671180878,0.96416666666666662,0.14057585670558426
1,0.97041666666666671,0.11264559544035971,0.97166666666666668,0.13142948255762166
2,0.97970833333333329,0.08265995273663794,0.96416666666666662,0.17254281965296833
3,0.98391666666666666,0.067171769416496607,0.96725000000000005,0.18402903318524236
4,0.98616666666666664,0.058755982214188963,0.97275,0.16187131195879118
5,0.98899999999999999,0.050459416736294553,0.97499999999999998,0.15506372322681683
6,0.99095833333333339,0.040043425471494025,0.97424999999999995,0.16518825834423106
7,0.99239583333333337,0.034823624242054166,0.97833333333333339,0.14946903010033688
8,0.99420833333333336,0.029339190631233303,0.97841666666666671,0.15152630967446543
9,0.99447916666666669,0.027279275745169827,0.98016666666666663,0.15584800649438091
