epoch,acc,loss,val_acc,val_loss
0,0.93999999999999995,0.23588683179859071,0.96658333333333335,0.10714266125687087
1,0.97568750000000004,0.0786250191135138,0.97341666666666671,0.090089149003537997
2,0.98272916666666665,0.055026636400104814,0.97241666666666671,0.095797321862191892
3,0.98633333333333328,0.042729877811972981,0.97375,0.09734858697897289
4,0.98916666666666664,0.032380277592594209,0.97783333333333333,0.085050033649817725
5,0.99056250000000001,0.028958468066573914,0.97350000000000003,0.11317107385426789
6,0.99102083333333335,0.026624414653007383,0.97399999999999998,0.11245661522279746
7,0.99427083333333333,0.018655378816586562,0.97441666666666671,0.12019451821059678
8,0.99337500000000001,0.021817487550485112,0.9780833333333333,0.10385155484856295
9,0.995,0.017266433379971809,0.97433333333333338,0.12981408824390323
