epoch,acc,loss,val_acc,val_loss
0,0.93004166666666666,0.24669513568530479,0.95725000000000005,0.14455998810380696
1,0.96699999999999997,0.10700851924034456,0.96483333333333332,0.11592217681619028
2,0.97527083333333331,0.079207978488411754,0.96591666666666665,0.11383631012619784
3,0.97929166666666667,0.066741499403258783,0.95766666666666667,0.13517250835647185
4,0.98168750000000005,0.05650081715096409,0.96191666666666664,0.11759153300834199
5,0.98460416666666661,0.048175517155808242,0.96850000000000003,0.11231796767842024
6,0.98491666666666666,0.045211016425455455,0.9730833333333333,0.092314786457185008
7,0.98712500000000003,0.041148586346748443,0.96499999999999997,0.12595682799854938
8,0.9868541666666667,0.038501771590570569,0.97124999999999995,0.11070035776492053
9,0.98812500000000003,0.035728616453367674,0.97250000000000003,0.10009137288444132
